id,person,sector,country,type
cdu,CDU,1,Deutschland,3
spd,SPD,1,Deutschland,3
linke,Die Linke,1,Deutschland,3
fdp,FDP,1,Deutschland,3
grüne,Bündnis Grüne,1,Deutschland,3
afd,AfD,1,Deutschland,3
alp,Ausländische Partei,1,International,3
fh,Folge fünfhundert,NA,Deutschland,2
fhe,Folge fünfhundertundeins,NA,Deutschland,2
fhz,Folge fünfhundertzwei,NA,Deutschland,2
fhd,Folge fünfhundertdrei,NA,Deutschland,2
fhv,Folge fünfhundertvier,NA,Deutschland,2
fhf,Folge fünfhundertfünf,NA,Deutschland,2
aw,Anne Will,2,Deutschland,1
uvdl,Ursula von der Leyen,1,Belgien,1
lk,Lars Klingbeil,1,Deutschland,1
nr,Norbert Röttgen,1,Deutschland,1
sw,Sahra Wagenknecht,1,Deutschland,1
cs,Constanze Stelzenmüller,4,Deutschland,1
cl,Christian Lindner,1,Deutschland,1
ks,Karl Schlögel,5,Deutschland,1
im,Ljudmyla Melnyk,3,Ukraine,1
kd,Kristina Dunz,2,Deutschland,1
ab,Annalena Baerbock,1,Deutschland,1
ft,Frans Timmermans,1,Niederlande,1
am,Andreij Melnyk,6,Ukraine,1
er,Egon Ramms,6,Deutschland,1
rh,Robert Habeck,1,Deutschland,1
cm,Claudia Major,3,Deutschland,1
kp,Katja Petrowskaja,2,Ukraine,1
rk,Roderich Kiesewetter,1,Deutschland,1
clb,Christian Lambrecht,1,Deutschland,1
agl,Alexander Graf Lambrecht,1,Deutschland,1
sb,Stefanie Bast,6,Deutschland,1
ch,Christian Heuseg,6,Deutschland,1
mw,Marina Weisband,2,Deutschland,1
os,Olaf Scholz,1,Deutschland,1
